"","Concretion.removal","Suspended.sediment.bottom","Contaminant.release","Sediment.deposition","X0..10.","X11..30.","X31..60.","X61..80.","X81..100.","Total","Expertise","Confidence"
"pbbb*****bbb1%1%1%1","50%","Low","Low","<1mm",36,28,20,12,4,100,"Expert","Medium"
"bbbbbbbbbbbbbbb","50%","Low","Low","1-5mm ",32,26,20,14,8,100,"Expert","Medium"
"3","50%","Low","Low","5-10mm",29,24,20,16,11,100,"Expert","Medium"
"4","50%","Low","Significant","<1mm",32,26,20,14,8,100,"Expert","Medium"
"5","50%","Low","Significant","1-5mm ",29,24,20,16,11,100,"Expert","Medium"
"6","50%","Low","Significant","5-10mm",25,23,20,17,15,100,"Expert","Medium"
"7","50%","Moderate","Low","<1mm",34,27,20,13,6,100,"Expert","Medium"
"8","50%","Moderate","Low","1-5mm ",31,25,20,15,9,100,"Expert","Medium"
"9","50%","Moderate","Low","5-10mm",27,24,20,16,13,100,"Expert","Medium"
"10","50%","Moderate","Significant","<1mm",31,25,20,15,9,100,"Expert","Medium"
"11","50%","Moderate","Significant","1-5mm ",27,24,20,16,13,100,"Expert","Medium"
"12","50%","Moderate","Significant","5-10mm",24,22,20,18,16,100,"Expert","Medium"
"13","50%","High","Low","<1mm",32,26,20,14,8,100,"Expert","Medium"
"14","50%","High","Low","1-5mm ",29,24,20,16,11,100,"Expert","Medium"
"15","50%","High","Low","5-10mm",25,23,20,17,15,100,"Expert","Medium"
"16","50%","High","Significant","<1mm",29,24,20,16,11,100,"Expert","Medium"
"17","50%","High","Significant","1-5mm ",25,23,20,17,15,100,"Expert","Medium"
"18","50%","High","Significant","5-10mm",22,21,20,19,18,100,"Expert","Medium"
"19","75%","Low","Low","<1mm",10,24,27,29,10,100,"Expert","Medium"
"20","75%","Low","Low","1-5mm ",9,21,30,30,10,100,"Expert","Medium"
"21","75%","Low","Low","5-10mm",5,17,28,35,15,100,"Expert","Medium"
"22","75%","Low","Significant","<1mm",5,17,27,29,22,100,"Expert","Medium"
"23","75%","Low","Significant","1-5mm ",2,15,27,29,27,100,"Expert","Medium"
"24","75%","Low","Significant","5-10mm",1,12,25,28,34,100,"Expert","Medium"
"25","75%","Moderate","Low","<1mm",25,23,20,17,15,100,"Expert","Medium"
"26","75%","Moderate","Low","1-5mm ",22,21,20,19,18,100,"Expert","Medium"
"27","75%","Moderate","Low","5-10mm",18,19,20,21,22,100,"Expert","Medium"
"28","75%","Moderate","Significant","<1mm",22,21,20,19,18,100,"Expert","Medium"
"29","75%","Moderate","Significant","1-5mm ",18,19,20,21,22,100,"Expert","Medium"
"30","75%","Moderate","Significant","5-10mm",15,17,20,23,25,100,"Expert","Medium"
"31","75%","High","Low","<1mm",24,22,20,18,16,100,"Expert","Medium"
"32","75%","High","Low","1-5mm ",20,20,20,20,20,100,"Expert","Medium"
"33","75%","High","Low","5-10mm",16,18,20,22,24,100,"Expert","Medium"
"34","75%","High","Significant","<1mm",20,20,20,20,20,100,"Expert","Medium"
"35","75%","High","Significant","1-5mm ",16,18,20,22,24,100,"Expert","Medium"
"36","75%","High","Significant","5-10mm",13,16,20,24,27,100,"Expert","Medium"
"37","100%","Low","Low","<1mm",1,19,20,21,39,100,"Expert","Medium"
"38","100%","Low","Low","1-5mm ",0,17,20,23,40,100,"Expert","Medium"
"39","100%","Low","Low","5-10mm",0,16,20,24,40,100,"Expert","Medium"
"40","100%","Low","Significant","<1mm",0,12,20,23,45,100,"Expert","Medium"
"41","100%","Low","Significant","1-5mm ",0,11,18,24,47,100,"Expert","Medium"
"42","100%","Low","Significant","5-10mm",0,10,17,23,50,100,"Expert","Medium"
"43","100%","Moderate","Low","<1mm",0,10,19,23,48,100,"Expert","Medium"
"44","100%","Moderate","Low","1-5mm ",0,10,19,23,48,100,"Expert","Medium"
"45","100%","Moderate","Low","5-10mm",0,9,17,26,48,100,"Expert","Medium"
"46","100%","Moderate","Significant","<1mm",0,10,11,25,54,100,"Expert","Medium"
"47","100%","Moderate","Significant","1-5mm ",0,6,11,26,57,100,"Expert","Medium"
"48","100%","Moderate","Significant","5-10mm",0,5,10,27,58,100,"Expert","Medium"
"49","100%","High","Low","<1mm",0,17,20,20,43,100,"Expert","Medium"
"50","100%","High","Low","1-5mm ",0,11,20,24,45,100,"Expert","Medium"
"51","100%","High","Low","5-10mm",0,10,16,23,51,100,"Expert","Medium"
"52","100%","High","Significant","<1mm",0,2,8,23,67,100,"Expert","Medium"
"53","100%","High","Significant","1-5mm ",0,4,6,20,70,100,"Expert","Medium"
"54","100%","High","Significant","5-10mm",0,2,5,18,75,100,"Expert","Medium"
