"","Sediment.Type","Plume.release","Volume.of.extraction","Low","Moderate","High","Total","Expertise","Confidence"
"abbb1*2*3bbb-1%-1%1","Soft","At the seafloor","Low",33,33,34,100,"Expert","Medium"
"bbbbbbbbbbbbbbb","Soft","At the seafloor","Moderate",22,33,45,100,"Expert","Medium"
"3","Soft","At the seafloor","High",11,33,56,100,"Expert","Medium"
"4","Soft","At surface","Low",48,33,19,100,"Expert","Medium"
"5","Soft","At surface","Moderate",37,33,30,100,"Expert","Medium"
"6","Soft","At surface","High",26,33,41,100,"Expert","Medium"
"7","Hard Clay","At the seafloor","Low",37,33,30,100,"Expert","Medium"
"8","Hard Clay","At the seafloor","Moderate",26,33,41,100,"Expert","Medium"
"9","Hard Clay","At the seafloor","High",15,33,52,100,"Expert","Medium"
"10","Hard Clay","At surface","Low",52,33,15,100,"Expert","Medium"
"11","Hard Clay","At surface","Moderate",41,33,26,100,"Expert","Medium"
"12","Hard Clay","At surface","High",30,33,37,100,"Expert","Medium"
"13","Rocks","At the seafloor","Low",41,33,26,100,"Expert","Medium"
"14","Rocks","At the seafloor","Moderate",30,33,37,100,"Expert","Medium"
"15","Rocks","At the seafloor","High",37,33,30,100,"Expert","Medium"
"16","Rocks","At surface","Low",56,33,11,100,"Expert","Medium"
"17","Rocks","At surface","Moderate",44,33,23,100,"Expert","Medium"
"18","Rocks","At surface","High",33,33,34,100,"Expert","Medium"
