Suspended.sediment,Sediment.deposition,Contaminant.release,0-10%,11-30% ,31-60%,61-80%,81-100%
Low,Low (<1mm),Low,36,28,20,12,4
Low,Low (<1mm),Significant,19,27,20,19,15
Low,Moderate (1-5mm),Low,31,25,20,15,9
Low,Moderate (1-5mm),Significant,15,21,24,21,19
Low,High (5-10mm),Low,20,22,24,18,16
Low,High (5-10mm),Significant,10,14,22,25,29
Moderate,Low (<1mm),Low,31,26,20,14,9
Moderate,Low (<1mm),Significant,14,22,25,22,17
Moderate,Moderate (1-5mm),Low,24,27,20,16,13
Moderate,Moderate (1-5mm),Significant,14,17,20,26,23
Moderate,High (5-10mm),Low,17,25,23,19,16
Moderate,High (5-10mm),Significant,7,14,20,26,33
High,Low (<1mm),Low,29,25,20,15,11
High,Low (<1mm),Significant,16,18,20,22,24
High,Moderate (1-5mm),Low,17,28,21,18,16
High,Moderate (1-5mm),Significant,11,15,20,25,29
High,High (5-10mm),Low,19,19,20,21,21
High,High (5-10mm),Significant,5,13,20,27,35
