From,To
Stratification,Underwater_noise
Water_depth,Underwater_noise
Substrate_type,Underwater_noise
Underwater_noise,Demersal_fish
Underwater_noise,Pelagic_fish
Underwater_noise,Mammals
Underwater_noise,Pelagic_crustacea
Underwater_noise,Mobile_epifauna_filter
Underwater_noise,Mobile_epifauna_deposit
Underwater_noise,Mobile_epifauna_predator
Underwater_noise,Sessile_epifauna_filter
Underwater_noise,Mobile_infauna_deppred
Depth_extracted_sediment,Modification_substrate_type
Modification_substrate_type,Microbes
Modification_substrate_type,Change_habitat_type
Modification_substrate_type,Quantity_sedimented_organic_matter
Quantity_sedimented_organic_matter,Oxygen_concentration
Oxygen_concentration,Demersal_fish
Oxygen_concentration,Mobile_epifauna_filter
Oxygen_concentration,Mobile_epifauna_deposit
Oxygen_concentration,Mobile_epifauna_predator
Oxygen_concentration,Sessile_epifauna_filter
Oxygen_concentration,Mobile_infauna_deppred
Change_habitat_type,Demersal_fish
Change_habitat_type,Mobile_epifauna_filter
Change_habitat_type,Mobile_epifauna_deposit
Change_habitat_type,Mobile_epifauna_predator
Change_habitat_type,Sessile_epifauna_filter
Change_habitat_type,Mobile_infauna_deppred
Change_habitat_type,Pelagic_crustacea
Mining_efficiency,Concretion_removal
Concretion_removal,Organisms_attached_nod
Concretion_removal,Seafloor_erosion
Concretion_removal,Change_habitat_type
Concretion_removal,Mobile_epifauna_filter
Concretion_removal,Mobile_epifauna_deposit
Concretion_removal,Mobile_epifauna_predator
Concretion_removal,Sessile_epifauna_filter
Concretion_removal,Mobile_infauna_deppred
Seafloor_erosion,Mobile_epifauna_filter
Seafloor_erosion,Mobile_epifauna_deposit
Seafloor_erosion,Mobile_epifauna_predator
Seafloor_erosion,Sessile_epifauna_filter
Seafloor_erosion,Mobile_infauna_deppred
Mobile_infauna_deppred,Demersal_fish
Mobile_epifauna_filter,Demersal_fish
Mobile_epifauna_deposit,Demersal_fish
Mobile_epifauna_predator,Demersal_fish
Sessile_epifauna_filter,Demersal_fish
Mobile_infauna_deppred,Demersal_fish
Depth_extracted_sediment,Modification_topography
Modification_topography,Borrow_holes
Borrow_holes,Quantity_sedimented_organic_matter
Timing_activity,Stratification
Stratification,WC_sediment_dispersal
Plume_release,WC_sediment_dispersal
WC_sediment_dispersal,Zooplankton
WC_sediment_dispersal,Turbidity
WC_sediment_dispersal,Suspended_sediment_bottom
WC_sediment_dispersal,Macrophytes
Turbidity,Macrophytes
Turbidity,Pelagic_fish
Turbidity,Phytoplankton
Phytoplankton,Zooplankton
Zooplankton,Pelagic_fish
Suspended_sediment_bottom,Macrophytes
Suspended_sediment_bottom,Mobile_epifauna_filter
Suspended_sediment_bottom,Mobile_epifauna_deposit
Suspended_sediment_bottom,Mobile_epifauna_predator
Suspended_sediment_bottom,Sessile_epifauna_filter
Suspended_sediment_bottom,Mobile_infauna_deppred
Sediment_contaminants,Release_contaminants
Release_contaminants,Mammals
Release_contaminants,Macrophytes
Release_contaminants,Demersal_fish
Release_contaminants,Pelagic_fish
Release_contaminants,Pelagic_crustacea
Release_contaminants,Mobile_epifauna_filter
Release_contaminants,Mobile_epifauna_deposit
Release_contaminants,Mobile_epifauna_predator
Release_contaminants,Sessile_epifauna_filter
Release_contaminants,Mobile_infauna_deppred
Release_contaminants,Zooplankton
Release_contaminants,Fish_larvae
Release_contaminants,Fish_eggs
Sediment_nutrients,Nutrient_release
Nutrient_release,Nutrients_water
Nutrients_water,Microbes
Nutrients_water,Macrophytes
Nutrients_water,Phytoplankton
Bottom_nutrients,Pumping_nuts_release
Volume_pumped_water,Pumping_nuts_release
Pumping_nuts_release,Nutrients_water
Depth_extracted_sediment,Volume_extraction
Volume_extraction,Release_contaminants
Bottom_currents,Sediment_bottom
Sediment_bottom,Turbidity
Sediment_bottom,Suspended_sediment_bottom
Sediment_bottom,Fish_eggs
Sediment_bottom,Mobile_epifauna_filter
Sediment_bottom,Mobile_epifauna_deposit
Sediment_bottom,Mobile_epifauna_predator
Sediment_bottom,Sessile_epifauna_filter
Sediment_bottom,Mobile_infauna_deppred
Suspended_sediment_bottom,Mobile_epifauna_filter
Suspended_sediment_bottom,Mobile_epifauna_deposit
Suspended_sediment_bottom,Mobile_epifauna_predator
Suspended_sediment_bottom,Sessile_epifauna_filter
Suspended_sediment_bottom,Mobile_infauna_deppred
Fish_eggs,Fish_larvae
Fish_larvae,Demersal_fish
Pelagic_fish,Mammals
